pid|parent_pid|cpu_use_percent|mem_use_percent|mem_use_bytes|name|command|read_bytes_per_sec|write_bytes_per_sec|total_read_bytes|total_write_bytes|process_state|process_state_char|uid
622|1|0|0.03547465932365375|12481536|CMFSyncAgent|/System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent|0|0|40960|0|Runnable|R|501
489|0|0|0|0|oahd|oahd|0|0|0|0|Unknown|?|0
589|1|0|0.014685793005755747|5167104|mediaremoteagent|/System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent|0|0|24576|0|Runnable|R|501
366|0|0|0|0|distnoted|distnoted|0|0|0|0|Unknown|?|0
109|0|0|0|0|kernelmanagerd|kernelmanagerd|0|0|0|0|Unknown|?|0
438|1|0|0.06465707043517037|22749184|AppSSOAgent|/System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent|0|0|196608|0|Runnable|R|501
663|1|0|0.04481989938340042|15769600|Keyword Search Extension|/Applications/Keyword Search.app/Contents/PlugIns/Keyword Search Extension.appex/Contents/MacOS/Keyword Search Extension -AppleLanguages ("en-US")|0|0|4096|0|Runnable|R|501
18278|1|0|0.11606025633839234|40835072|DockHelper|/System/Library/CoreServices/Dock.app/Contents/XPCServices/DockHelper.xpc/Contents/MacOS/DockHelper|0|0|253952|0|Runnable|R|501
15240|1|0|0.022171298279398986|7800832|VTDecoderXPCService|/System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService|0|0|0|16384|Runnable|R|501
392|1|0|0.05354813823085613|18840576|lsd|/usr/libexec/lsd|0|0|42184704|273526784|Runnable|R|501
885|1|0|0.1430511489930453|50331648|assistant_service|/System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistant_service|0|0|143069184|4083712|Runnable|R|501
356|0|0|0|0|suhelperd|suhelperd|0|0|0|0|Unknown|?|0
146|0|0|0|0|amfid|amfid|0|0|0|0|Unknown|?|0
107|0|0|0|0|mds|mds|0|0|0|0|Unknown|?|0
91|0|0|0|0|endpointsecurityd|endpointsecurityd|0|0|0|0|Unknown|?|0
386|0|0|0|0|corekdld|corekdld|0|0|0|0|Unknown|?|0
143|0|0|0|0|AirPlayXPCHelper|AirPlayXPCHelper|0|0|0|0|Unknown|?|0
253|0|0|0|0|backupd|backupd|0|0|0|0|Unknown|?|0
331|0|0|0|0|sysextd|sysextd|0|0|0|0|Unknown|?|0
